id	title	teacher_prompt	student_prompt	rougeL_score
1508.03928v1	LCNN: Low-level Feature Embedded CNN for Salient Object Detection	A4 portrait format, 1:sqrt(2) aspect ratio. A cross-section diagram of a deep convolutional neural network architecture, with the initial layers extracting low-level features like edges and contrast shown as blue and green data streams, merging with deeper layers extracting high-level semantic features shown as orange and red streams. The combined feature vector feeds into a hinge-loss SVM classifier visualized as a geometric plane separating salient and non-salient regions. The final output is a precise saliency heatmap overlaid on a complex natural image, with high activation in red. Clean, technical illustration style with labeled layers, data flow arrows, and a cool-to-warm color gradient, rendered with sharp lines and a white background.	A4 portrait format, scientific visualization of a deep neural network architecture for salient object detection, showing a convolutional neural network with multiple convolutional and pooling layers, a low-level feature extraction module with contrast and spatial information maps, and a hinge-loss SVM detector with weight vectors, all connected by data flow arrows, visualized as a clean and organized diagram with a blue and gray color palette, precise line work, and subtle gradients indicating activation levels, academic illustration style with a split-view composition showing both the network architecture and the resulting saliency map overlay on a complex image, with a focus on clarity and technical accuracy.	0.3097
1506.05187v1	Robust High Quality Image Guided Depth Upsampling	A cross-section visualization of depth map upsampling optimization, showing a low-resolution noisy Time-of-Flight depth map on the left, a high-resolution companion color image in the center, and the resulting high-resolution depth map on the right after processing through a novel optimization framework, with data term and smoothness term illustrated as mathematical operators transforming the data flow, texture copy artifacts and blurring at depth discontinuities are visibly corrected, clean sharp edges are restored, arrows and flow lines indicate the guided upsampling process from low to high resolution, using a cool color palette of blues and grays for depth data and accurate colors for the RGB guide image, in a clean technical illustration style suitable for a computer vision conference, with a clear before-and-after comparison	A4 portrait format, scientific visualization of robust image-guided depth upsampling: a low-resolution noisy depth map (grayscale with speckle noise) being upsampled to a high-resolution depth map (colored heatmap with sharp depth discontinuities), with a high-resolution color image (RGB texture) serving as the guidance, showing the optimization framework with data and smoothness terms visualized as mathematical constraints, clean and precise academic illustration style with a cool color palette (blues, grays, and accent yellows for data flow), split-view composition with the input depth map on the left and the output depth map on the right, connected by the guidance image and the optimization framework diagram in the center, sharp focus on the depth map edges and texture details, no decorative elements.	0.3216
1709.09426v1	Leveraging Weakly Annotated Data for Fashion Image Retrieval and Label Prediction	A highly detailed scientific visualization of a deep convolutional neural network processing a grid of diverse e-commerce fashion product images, with weakly annotated text tags (like 'red dress', 'striped shirt') floating as semi-transparent overlays, illustrating noisy data ingestion. The network architecture is shown in a clean, layered cutaway view, with feature maps highlighting learned visual patterns for texture, shape, and color. A central pathway branches into two clear outputs: one leading to a ranked image retrieval results column and the other to a multi-level hierarchical label prediction tree (e.g., 'Apparel' -> 'Top' -> 'T-Shirt'). Style is a clean, modern 3D scientific illustration with a muted professional color palette of blues, grays,	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a deep neural network architecture for fashion image retrieval, showing a convolutional neural network (CNN) with multiple convolutional and pooling layers, followed by fully connected layers, processing a grid of fashion images. The network's feature maps are visualized as colored activation patterns, with warm reds and oranges indicating high feature importance for clothing categories, and cool blues indicating background and texture features. The output layer shows a probability distribution over fine-grained clothing categories, with bars representing predicted class probabilities. The style is a clean, technical illustration with precise line work, a muted color palette of blues, grays, and accent colors, and subtle directional lighting to create depth and hierarchy. The composition is a	0.325
1407.7317v1	A unified framework for thermal face recognition	A unified thermal face recognition framework: a 3D facial mesh model with overlaid thermal heatmap texture, showing simultaneous variations in pose (profile to frontal), expression (neutral to smiling), physiological state (cooler nasal region), partial occlusion from transparent eyeglass frames, and quasi-occlusion from stubble facial hair, all visualized on a single multi-panel figure, color gradient from deep blue (cold) to bright white (hot), clean scientific diagram style with precise labels, split-screen composition comparing raw thermal input to the normalized unified output, A4 portrait format, 1:sqrt(2) aspect ratio	A unified framework for thermal face recognition, showing a thermal infrared image of a human face with overlaid neural network architecture, connections between nodes mimicking thermal patterns, nuisance factors like pose, expression, and occlusion visualized as semi-transparent colored overlays, scientific visualization style with precise technical rendering, split-view composition showing both raw thermal data and processed recognition output, cool monochromatic thermal palette with subtle color coding for different nuisance factors, A4 portrait format with 1:sqrt(2) aspect ratio, sharp focus on the face and network connections, no decorative elements	0.3516
1707.04781v1	Modified Alpha-Rooting Color Image Enhancement Method On The Two-Side 2-D Quaternion Discrete Fourier Transform And The 2-D Discrete Fourier Transform	A detailed scientific illustration of a color image enhancement process comparing two methods: On the left, a channel-by-channel 2-D Discrete Fourier Transform (DFT) approach showing separate red, green, and blue frequency domain representations with disjoint enhancement. On the right, a unified quaternion-based 2-D Quaternion Discrete Fourier Transform (QDFT) approach depicting a single hypercomplex frequency domain sphere with intertwined color components. Arrows visualize the modified alpha-rooting operation as a spectral magnitude adjustment. A central color image splits, processes through each pipeline, and recombines, with the QDFT output showing more vibrant and genuine color fidelity. Use a clean, technical illustration style with a blue, gray, and spectral color palette, sharp lines,	A4 portrait format, scientific visualization of the modified alpha-rooting color image enhancement method, showing a 2D quaternion discrete Fourier transform (2D QDFT) matrix overlaid on a color image, with the quaternion components (R, I, J, K) represented as distinct, interwoven spectral bands, the enhancement process visualized as a flow of golden energy streams transforming the original color image into a more vibrant, authentic representation, using a cool blue to warm red gradient for the quaternion components and a neutral gray background, rendered in a clean, precise academic illustration style with sharp edges and subtle volumetric lighting, split-view composition showing the original color image on the left and the enhanced quaternion-based output on the right, with mathematical notation for the 2D QDFT and CEME measure estimation subtly integrated into the background.	0.25
0901.0065v1	Exact Histogram Specification Optimized for Structural Similarity	A4 portrait format, 1:sqrt(2) aspect ratio. A split-view scientific visualization of Exact Histogram Specification optimized for Structural Similarity. On the left, a generic EHS output image with visible pixelation and quality degradation. On the right, the proposed optimized output after SSIM gradient ascent, showing a perceptually enhanced, high-quality image with preserved structural details. Between them, a central panel displays the exact specified histogram as a precise, identical bar chart for both methods, emphasizing the constraint. The SSIM optimization process is visualized as a gradient flow field overlaid on the image plane, with arrows indicating the path of pixel intensity adjustments maximizing structural similarity. A subtle heatmap overlay on the right image indicates regions of high structural preservation	A4 portrait format, scientific visualization of an image histogram being optimized for structural similarity, showing a grayscale input image on the left with a distorted histogram bar chart, and the same image on the right with a perfectly specified histogram bar chart, connected by a gradient field of blue-to-red colors representing the SSIM optimization process, with mathematical notation for the SSIM gradient formula floating in the background, clean and precise academic illustration style with sharp edges and subtle volumetric lighting, split-view composition with a clear visual flow from left to right	0.3163
1301.7418v1	Flexible and Approximate Computation through State-Space Reduction	A conceptual diagram showing state-space reduction for flexible and approximate computation, featuring a complex branching decision tree on the left being systematically pruned and simplified into a streamlined, optimal path on the right, with computation resources visualized as a blue energy flow dynamically allocated to critical branches, using a clean scientific illustration style with a monochromatic blue and gray color palette enhanced by strategic gold highlights on key nodes and the final solution path, sharp technical lighting, viewed from a dynamic three-quarter perspective that conveys progression, A4 portrait format, 1:sqrt(2) aspect ratio.	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of a state-space reduction algorithm for flexible and approximate computation. The core concept shows a complex, multi-layered state space graph with nodes and edges, being progressively simplified and reduced in size by two distinct methods: a quantitative reduction method visualized as a blue, translucent filter overlaying the graph, and a structural reduction method shown as a red, geometric mesh cutting through the graph's structure. The reduction process is depicted as a dynamic, converging flow of golden particles and energy streams, with solution quality improving as the graph shrinks. The style is a clean, modern 3D scientific illustration with precise line work, a muted color palette of blues, grays, and accent reds, and soft directional lighting to create depth and clarity.	0.2522
1511.02386v2	Hierarchical Variational Models	A cross-section visualization of a hierarchical variational model, showing a base variational distribution (Gaussian cloud) with a hierarchical prior distribution (larger, translucent probability surface) governing its parameters, connected by probabilistic arrows indicating the flow of variational parameters, with the true complex posterior distribution (multicolored, non-Gaussian manifold) in the background for comparison, using a cool color palette of blues and purples for the variational family with warm orange accents for the data influence, clean 3D scientific illustration style with soft volumetric lighting and subtle transparency effects, central composition with the hierarchical structure expanding outward, viewed from a slightly elevated perspective to show depth and relationships between distributions, A4 portrait format, 1:sqrt(2) aspect ratio.	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a Hierarchical Variational Model (HVM) for deep discrete latent variable models. A central, complex variational distribution is depicted as a multi-layered, translucent 3D manifold with intricate, swirling internal structure. This manifold is being augmented by a prior distribution, visualized as a coherent, structured field of golden light and probabilistic contours enveloping the variational distribution. The latent variables are represented as discrete, colored data points (blue, green, orange) embedded within the manifold's structure. The algorithm's black-box nature is suggested by a subtle, semi-transparent overlay of abstract, geometric connections. The style is a precise, clean academic illustration with a cool color palette (blues, grays, gold	0.2213
1609.05959v1	Conformalized Kernel Ridge Regression	A4 portrait format, 1:sqrt(2) aspect ratio. A clean, academic scientific illustration showing the core concept of conformalized kernel ridge regression. On the left, a 3D surface plot of a kernel ridge regression model fitting scattered data points in a feature space, with a smooth prediction surface. On the right, a detailed visualization of the conformal prediction process: a new test point is shown, surrounded by a translucent, non-parametric confidence region constructed from the conformity scores of calibration data points, which are depicted as faint halos or bands around the regression surface. The confidence region adjusts its size based on local density, ensuring the specified coverage rate. Use a cool, professional color palette of deep blues for the data space	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a conformalized kernel ridge regression model for anomaly detection. A 3D scatter plot of high-dimensional data points in a blue-to-purple gradient, with a translucent, conformal prediction region enveloping the data cloud in a warm orange-to-red gradient. The kernel matrix is visualized as a glowing, interconnected web of golden lines connecting data points. A clean, minimalist academic illustration style with precise line work and subtle volumetric lighting. The composition is a split-view: the left side shows the raw data points and the conformal prediction region, while the right side shows a magnified, detailed view of the kernel matrix connections.	0.346
1803.01457v1	Less Is More: Picking Informative Frames for Video Captioning	A4 portrait format, scientific visualization of a reinforcement learning-based frame selection process for video captioning, showing a neural network architecture with encoder-decoder framework analyzing a video sequence, informative frames being highlighted with bright borders and selected into a compact subset on the right, redundant frames appearing faded, visual diversity represented by varied scene content in selected frames, textual discrepancy minimization shown as accurate caption text generation below the frame subset, reinforcement learning reward signals visualized as golden arrows pointing to selected frames, clean academic illustration style with a blue and gray color palette, split-view composition showing the full video sequence on the left and the selected informative subset on the right, technical schematic with labeled components including Encoder, Decoder, PickNet, and reward module	A4 portrait format, scientific visualization of a reinforcement learning network for video captioning, showing a sequential frame selection process, a central Encoder-Decoder neural network architecture with attention mechanisms, a timeline of video frames with selected frames highlighted in warm orange and rejected frames in cool blue, visual diversity metrics visualized as branching data streams, textual discrepancy metrics shown as converging sentence embeddings, clean academic illustration style with precise line work and subtle gradients, split-view composition showing the network architecture and the selected frame subset side-by-side, technical and precise visualization with no decorative elements.	0.4215
1703.06114v2	Deep Sets	A4 portrait format, 1:sqrt(2) aspect ratio. A precise scientific visualization of the Deep Sets architecture's core principle: permutation invariance for machine learning on finite sets. The central visual is a set of distinct, abstract 3D data points (colored spheres, cubes, and tetrahedrons in cool blues, purples, and silvers) floating in a dark, neutral space. Multiple, identical neural network branches (visualized as sleek, translucent pipelines or fiber-optic strands with soft internal cyan illumination) process each element in parallel. These branches converge symmetrically onto a single, central permutation-invariant aggregation node (a glowing, intricate geometric core, like a dodecahedron, pulsing with warm amber light).	A4 portrait format, scientific visualization of a deep set architecture for permutation-invariant machine learning, showing a neural network with layers of feature extractors and set transformers, processing a set of three-dimensional point clouds, with permutation invariant objective functions visualized as symmetrical, translucent geometric structures overlaying the network, color palette of cool blues and purples for the network, warm oranges and yellows for the data, clean lines and precise edges in a technical illustration style, isometric perspective with clear depth and layering, no decorative elements	0.2812
1206.6382v1	High-Dimensional Covariance Decomposition into Sparse Markov and Independence Domains	A4 portrait format, 1:sqrt(2) aspect ratio. A high-dimensional covariance matrix decomposing into two distinct, overlapping graphical models. On the left, a sparse Gaussian Markov Random Field model represented by a network graph with nodes connected by thin, precise blue lines forming a lattice structure, its corresponding sparse precision matrix glowing with a cool blue light. On the right, a sparse Gaussian Independence model shown as a network of nodes with fewer, thicker orange connections in a hub-and-spoke pattern, its corresponding sparse covariance matrix radiating a warm orange glow. In the center, the combined observed covariance matrix is a fusion of blue and orange lattice patterns, with mathematical arrows and flow lines depicting the decomposition process into the two domains. Clean, minimalist 	A4 portrait format, 1:sqrt(2) aspect ratio. A high-dimensional covariance matrix visualized as a 3D grid of interconnected nodes, decomposed into two distinct domains. The Markov domain shows a sparse, structured network of nodes with strong connections, rendered in cool blues and purples. The Independence domain shows a sparse, unstructured network of nodes with weak connections, rendered in warm oranges and yellows. The two domains are separated by a clear, glowing boundary. The visualization uses a clean, academic illustration style with precise linework, subtle gradients, and soft directional lighting to create depth and clarity. The composition is a split-view, with the left side showing the original high-dimensional covariance matrix as a dense, complex grid, and the right side showing the	0.36
1203.4287v1	Parameter Learning in PRISM Programs with Continuous Random Variables	A symbolic inference tree for a probabilistic logic program, with nodes representing logical clauses and edges as probabilistic choices, flowing into a continuous Gaussian distribution cloud visualized as a smooth 3D probability density function surface, connected by linear equality constraint lines rendered as glowing mathematical symbols, a split-view composition showing the discrete symbolic tree on the left and the continuous parameter space on the right, clean academic illustration style with a muted color palette of deep blues, grays, and accents of orange for data flow, sharp technical lighting, highly detailed, A4 portrait format, 1:sqrt(2) aspect ratio.	A4 portrait format, scientific visualization of parameter learning in extended PRISM programs with continuous random variables, showing a logic program with Gaussian variables and linear equality constraints, EM algorithm visualized as alternating symbolic inference loops, parameter distributions represented as translucent 3D Gaussian surfaces with mean and variance values, discrete variables shown as discrete probability distributions, all rendered in a clean academic illustration style with precise line work, cool blue and gray color palette with warm orange accents for algorithmic flow, split-view composition showing both the extended logic program and the resulting learned parameter distributions, detailed and accurate representation of statistical model encoding and EM-based inference	0.2233
1208.0787v2	A Random Walk Based Model Incorporating Social Information for Recommendations	A directed graph visualization of a Markovian random walk recommendation system, nodes representing users and items with distinct colors (blue for users, orange for items), edges weighted by user ratings and incorporating social network links as thicker connections, item content and user profile data visualized as small icons or text snippets attached to respective nodes, the random walk path highlighted in a glowing yellow line traversing from a user node through item nodes influenced by social connections, clean and precise computational social science illustration style, isometric perspective with the graph centrally arranged, subtle grid background, A4 portrait format, 1:sqrt(2) aspect ratio.	A4 portrait format, scientific visualization of a hybrid collaborative filtering model for recommendation systems, directed graph with nodes as items and users, edges weighted by user ratings and social network information, random walk path visualized as glowing trajectory through the graph, nodes colored by item categories (blue, green, orange) and user types (red, yellow, purple), clean infographic style with precise line work and subtle gradients, split-view composition showing both the graph structure and the resulting personalized recommendation list, professional academic illustration with accurate representation of the mathematical model.	0.2917
1711.10157v1	Deformation estimation of an elastic object by partial observation using a neural network	A 3D human liver model reconstructed from CT scan data, semi-transparent elastic mesh with internal vasculature, showing partial surface displacement vectors (red arrows) from sparse observation points, overlaid with a neural network architecture diagram (hidden layers as translucent planes) predicting the full volumetric deformation field (blue displacement vectors), scientific visualization style with clean white background, split-view composition comparing partial input data to full estimated output, volumetric lighting, A4 portrait format, 1:sqrt(2) aspect ratio	A4 portrait format, scientific visualization of a neural network estimating deformation of an elastic object, cross-section view showing a rectangular parallelepiped model with internal strain patterns, overlaid with a translucent neural network architecture with activation nodes, displacement information from sparse observation points visualized as glowing blue data points, deformation field shown as a colored heatmap from cool blue (low strain) to warm red (high strain), clean academic illustration style with precise linework and subtle volumetric lighting, split-view composition showing both the physical object and the neural network's internal representation, color palette of deep blues, grays, and accent reds for data and activation.	0.2198
1601.06259v1	Minimax Lower Bounds for Linear Independence Testing	"A4 portrait format, 1:sqrt(2) aspect ratio. A clean, rigorous scientific diagram illustrating the minimax lower bound for linear independence testing. The central visual is a 3D scatter plot of high-dimensional data points (X_i in R^p, Y_i in R^q) with p and q large, rendered as translucent blue and red point clouds in distinct but overlapping subspaces. Superimposed on this is a translucent grid representing the cross-covariance matrix Σ_XY, with its Frobenius norm ‖Σ_XY‖_F visualized as the intensity and magnitude of connecting lines (in gold) between the point clouds. A key inequality is graphically represented: a large, transparent ""n ≥"" symbol"	A4 portrait format, scientific visualization of minimax lower bound for linear independence testing, cross-covariance matrix Σ_{XY} visualized as a complex, layered data structure with golden energy streams representing statistical power, p+q dimensional multivariate distribution shown as a cloud of colored data points (blue for X, red for Y) with connecting lines to Σ_{XY}, mathematical notation for minimax lower bound n ≥ √(pq)/∥Σ_{XY}∥_F^2 floating in the background, clean academic illustration style with precise linework and subtle gradients, split-view composition showing both the statistical problem and the mathematical lower bound, cool analytical color palette with accents of gold and blue	0.2559
1206.6466v1	Utilizing Static Analysis and Code Generation to Accelerate Neural Networks	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization showing a compiler's static analysis and code generation process for a neural network. On the left, a multi-layer neural network graph with nodes and weighted connections is frozen in a translucent blue crystalline structure, representing static architectural analysis. Golden beams of light trace data flow paths through the frozen network. On the right, these beams converge and transform into highly optimized, parallel machine code streams, visualized as dense, structured green and gold matrices and execution pipelines. The central compiler engine is depicted as a geometric, translucent core with internal optimization passes visible as layered filters. Clean, technical illustration style with a cool blue and metallic gold color palette, sharp lighting, and a split-view composition	A4 portrait format, 1:sqrt(2) aspect ratio. A detailed scientific visualization of a neural network compiler's static analysis and code generation process. The scene shows a 3D architectural diagram of a convolutional neural network (CNN) with clearly labeled layers (Conv2D, MaxPool2D, Flatten). A central, glowing compiler module (SONNC) analyzes the network's static data structure, visualized as a complex, interconnected graph of nodes and edges. From this analysis, optimized parallel code streams out as structured, colored data packets (blue for C++ optimization, orange for MATLAB optimization) flowing into a parallel processing unit. The style is a clean, technical illustration with precise linework, a muted color palette of blues, grays, and	0.3833
1303.4803v1	A Survey of Appearance Models in Visual Object Tracking	A4 portrait format, scientific illustration of visual object tracking appearance models, showing a split-view composition with three main modules: left panel displays visual representation stage with local features (SIFT keypoints as colored circles with orientation lines) and global features (HOG descriptors as gradient histograms overlaid on object silhouette), center panel shows statistical modeling stage with three parallel branches (generative model as Gaussian distribution cloud, discriminative model as SVM decision boundary hyperplane, hybrid model combining both elements), right panel presents tracking output with bounding box sequence over video frames showing target motion path, all connected by data flow arrows labeled with mathematical notation, clean infographic style with muted academic color palette (blues, grays, and accent colors for differentiation), isometric perspective	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a 2D appearance model for visual object tracking, showing a moving object (a red rectangle) being tracked through a sequence of video frames. The object's appearance is represented by a probabilistic Gaussian mixture model, visualized as overlapping translucent colored ellipsoids (blue, green, yellow) with varying opacities and sizes, each representing a different appearance model. The tracking path is shown as a solid white line connecting the object's position across frames. The background is a subtle grid of video frames, with the object's trajectory highlighted in a warm orange-to-red gradient. Clean, technical illustration style with precise linework, soft shadows, and a muted color palette of blues, grays, and	0.2387
1705.01143v1	Summarized Network Behavior Prediction	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of a Spatially Connected Convolutional Network (SCCN) for entity behavior prediction from network logs. The left side shows raw network log data streams transforming into a structured 2D grid of topical metrics, resembling a grayscale image with homogeneous pixel-like data points. The center features the hybrid neural architecture: a Recurrent Neural Network (RNN) branch with unfolding temporal connections processing sequential data, adjacent to a Convolutional Neural Network (CNN) branch with distinct convolutional filters applied to the spatial grid. The right side illustrates the prediction output as a simplified, summarized behavioral trend line. The style is a clean, technical illustration with a muted color	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a spatially connected convolutional neural network (SCCN) architecture for network behavior prediction. The core concept shows a massive network log data stream being processed by a recurrent neural network (RNN) module, which outputs a sequence of temporal behavioral metrics. These metrics are then transformed into a grid of homogeneous, pixel-like topical metrics, visualized as a 2D heatmap with a cool blue to warm red gradient. The CNN module, depicted as a series of convolutional filters, scans this spatial grid to extract spatial patterns. The final prediction is shown as a clean, minimalist output layer. Style is a precise, technical 3D scientific illustration with clean lines, soft volumetric lighting, and a	0.4473
1711.09224v1	CondenseNet: An Efficient DenseNet using Learned Group Convolutions	A4 portrait format, 1:sqrt(2) aspect ratio, scientific illustration of the CondenseNet architecture: cross-section view showing dense connectivity between neural network layers as a web of fine gray lines, with a learned group convolution mechanism actively pruning and condensing superfluous connections into distinct, efficient grouped pathways highlighted in vibrant blue and orange, against a clean white background with subtle grid lines, technical diagram style with sharp edges and clean labels, focused lighting from above to emphasize the contrast between the initial dense web and the final optimized structure.	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a CondenseNet architecture with learned group convolutions, showing a dense neural network with redundant connections being pruned, visualized as thin, translucent blue lines being selectively removed, revealing a more efficient, streamlined network with golden energy flow pathways, overlaid on a clean, dark background with subtle grid lines, rendered in a precise, technical illustration style with sharp edges and flat colors, using a cool color palette of blues and grays with strategic accents of gold for data flow.	0.3933
1601.00400v1	Multi-task CNN Model for Attribute Prediction	A4 portrait format, scientific visualization of a multi-task CNN architecture for attribute prediction, showing multiple parallel convolutional neural networks processing an input image, each CNN branch generating attribute-specific feature representations visualized as distinct colored activation maps, latent task matrix decomposition illustrated as a grid of shared parameters with arrows indicating knowledge transfer between attribute groups, natural grouping shown through color-coded clusters where same-group attributes share thicker connection lines while different groups have thinner competitive connections, under-sampled classifiers receiving boosted statistics from other classifiers depicted as reinforcement arrows, clean technical illustration style with precise linework, blue and orange color scheme representing different attribute groups, split-view composition showing both network architecture and parameter decomposition, subtle gradient background, professional scientific diagram aesthetic	A4 portrait format, scientific visualization of a multi-task convolutional neural network (CNN) architecture for attribute prediction, showing three parallel CNN branches processing the same input image, each branch extracting attribute-specific feature representations visualized as distinct colored activation maps (blue for color, orange for texture, green for shape), with a central latent task matrix and combination matrix decomposing the shared parameters, natural attribute grouping shown as separate clusters of connected nodes, clean technical illustration style with precise linework and subtle gradients, split-view composition with the input image on the left and the multi-task architecture diagram on the right, cool color palette with accents of warm colors for activation highlights	0.4557
1406.3877v2	Argument Ranking with Categoriser Function	A4 portrait format, 1:sqrt(2) aspect ratio. A directed graph of abstract arguments represented as interconnected nodes, with cycles highlighted in a distinct color. The categoriser function visualized as a mathematical function mapping each argument node to a numerical strength value, depicted as a vertical bar or heat intensity within the node. Fixed point technique illustrated as an iterative convergence process, shown with converging arrows and a sequence of equations solving a system of non-linear equations. Clean, academic illustration style with a muted color palette of blues, grays, and a single accent color for highlights. The composition is a split-view: the left side shows the argumentation framework graph with strength mappings, and the right side shows the mathematical fixed-point iteration process converging to a	A4 portrait format, scientific visualization of argument ranking with categoriser function, abstract tree structure of arguments with nodes as colored spheres and edges as glowing lines, categoriser strength visualized as a translucent, layered energy field enveloping the tree, non-linear equation solution depicted as a converging fixed point trajectory, cool blue and purple color palette with warm orange accents for strength values, clean academic illustration style with precise linework and subtle volumetric lighting, split-view composition showing the abstract argument system on the left and the mathematical fixed point convergence on the right, accurate representation of the categoriser function's iterative process solving for the strength value in a cyclic argument graph.	0.3083
1404.7279v1	Assessing the players'performance in the game of bridge: A fuzzy logic approach	"A fuzzy logic assessment system for bridge players' performance, showing overlapping fuzzy subsets of linguistic labels like ""expert"", ""intermediate"", and ""novice"" with graded membership functions, a centroid defuzzification process converting fuzzy data to a crisp numerical output on a performance scale, bridge cards and bidding boxes in the background, clean scientific diagram style with soft color gradients for membership functions (blues, purples, greens), top-down analytical perspective, A4 portrait format, 1:sqrt(2) aspect ratio"	"A4 portrait format, scientific visualization of fuzzy logic applied to bridge player performance assessment, showing a bridge table with four players, each represented as a fuzzy subset of linguistic labels (e.g. ""excellent"", ""good"", ""fair"", ""poor"") visualized as overlapping translucent colored regions, with centroid defuzzification method depicted as a central golden point calculating a crisp numerical score, clean academic illustration style with precise linework and subtle shadows, split-view composition showing both the fuzzy subset representation and the resulting crisp score output, color palette of deep blues, purples, and gold accents, technical and precise visualization of mathematical concepts applied to real-world data analysis."	0.257
1705.00394v1	Stochastic Divergence Minimization for Biterm Topic Model	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of a stochastic divergence minimization algorithm applied to a biterm topic model. The scene shows a network of word pairs (biterms) as interconnected nodes in the foreground, with latent topics represented as translucent, overlapping colored probability distributions in the background. The algorithm's stochastic optimization is visualized as a dynamic gradient flow of light particles minimizing the divergence between the model's estimated topic distributions and the true underlying distribution, depicted as converging from a state of high entropy (dispersed, multi-colored particles) to low entropy (focused, coherent streams). The color palette uses a gradient from cool blues (high divergence/entropy) to warm reds and yellows (low	A4 portrait format, scientific visualization of the Biterm Topic Model (BTM) inference process, showing a 3D scatter plot of word co-occurrence pairs (biterms) with latent topic assignments, stochastic gradient descent optimization visualized as converging particle trajectories on the topic space manifold, color-coded by topic, with translucent surfaces representing the divergence minimization objective function, clean academic illustration style with precise line work and subtle gradients, split-view composition showing the algorithmic flow from raw text data to topic distributions, using a cool color palette of blues and purples with accent colors for topic clusters.	0.3192
1803.08475v1	Attention Solves Your TSP	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram illustrating an attention-based neural network solving the Euclidean Traveling Salesman Problem. The left side shows a graph with 20 nodes scattered on a 2D plane, connected by a near-optimal Hamiltonian tour highlighted in a solid, bold blue line. The right side visualizes the internal mechanism: a multi-head graph attention layer where node embeddings are represented as colored spheres. Attention weights between nodes are depicted as semi-transparent, glowing beams of varying intensity (thicker and brighter for higher attention), focusing on the nodes that form the next step in the tour. The style is a clean, modern academic illustration with a white background, using a color palette of deep	A4 portrait format, scientific visualization of a graph attention mechanism solving the Traveling Salesman Problem, showing a 2D Euclidean graph with 20 nodes as colored spheres, attention weights visualized as translucent, glowing connection lines between nodes, policy rollout depicted as a deterministic path of golden nodes, REINFORCE training process shown as a background gradient from cool blue to warm red, clean academic illustration style with precise linework and subtle depth of field, split-view composition showing both the graph attention architecture and the resulting optimized tour path	0.3158
1507.02011v1	A Bayesian Approach for Online Classifier Ensemble	A Bayesian classifier ensemble visualized as recursive probability distributions updating in real-time, data stream flowing through multiple classifier nodes with weight parameters shown as dynamically adjusting Gaussian curves, posterior distributions depicted as evolving 3D probability surfaces with uncertainty shading, mathematical notation for Bayesian updating formulas floating in background, cool analytical color palette of blues and purples with warm highlights for active updates, clean computational neuroscience illustration style, layered composition showing data flow from left to right with probability distributions evolving downward, precise mathematical visualization with no decorative elements, A4 portrait format with 1:sqrt(2) aspect ratio	A Bayesian online classifier ensemble, visualized as a dynamic network of interconnected nodes representing individual classifiers, with Bayesian posterior distributions over weights depicted as translucent, colored probability clouds surrounding each node, recursive update mechanism shown as a flowing stream of data points with associated loss functions, scientific diagram style with clean lines and precise labels, split-view composition showing both the abstract network and a concrete example of a real-world dataset, cool analytical color palette of blues and grays with accent colors for different loss functions, A4 portrait format with 1:sqrt(2) aspect ratio, highly detailed and accurate representation of the mathematical concepts.	0.3153
1609.04079v1	Single-image RGB Photometric Stereo With Spatially-varying Albedo	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a single-shot RGB photometric stereo system for 3D shape recovery. A glossy, complex-shaped object with distinct, spatially-varying colored patches (red, green, blue, yellow) sits on a dark surface. Three colored light sources (red, green, blue) illuminate the object from different angles, merging into a single, calibrated RGB spotlight that casts the object's shadow. The resulting single RGB image is shown as a floating inset, displaying the multiplexed color information. A dense grid of small, overlapping square patches overlays the object's surface. From one highlighted patch, a 3D surface normal distribution fans out, visualized as a translucent cone of	A4 portrait format, scientific visualization of a single RGB image photometric stereo system, three calibrated light directions (red, green, blue) multiplexed across color channels, surface geometry recovery of a non-degenerate local constant albedo patch, piece-wise constant albedo map with distinct values, dense set of local patches with shape distributions, combined surface normal map, technical illustration style with clean lines and precise labeling, split-view showing ideal theoretical recovery and practical algorithmic results, cool analytical color palette with precise color channel separation	0.2538
